bp,rank,score,ts,uptime_score
B62qjodMvEfFUfs2ciXUekPF3f4ePhH3uRfwoRssh5hWF1Mr8xHjeEF,109,8487,2021-05-22 11:26:39.362277,94.77 %
B62qiZwdQ8Wdk8PuGtdCNzWrK49zmxLFWmogt2xXNS3y9eKS7o5qwxr,110,8483,2021-05-22 11:26:39.362277,94.73 %
B62qmpHMDeuGL1KAkneV1RTKMez2ZNcDUJKNAEZgweJna62xuJQ6Mqm,111,8460,2021-05-22 11:26:39.362277,94.47 %
B62qnVMHrtGPVRN3SrwyDzjbgBQhaFSgv16SAAFe5ddm2369KKzRn6d,112,8447,2021-05-22 11:26:39.362277,94.33 %
B62qrBRnUXvdMr8eGLBsmdpvFnndinDZMowqoMUYRJnmGKpdJv7TMRj,113,8434,2021-05-22 11:26:39.362277,94.18 %
B62qkHSAjmBUWhjqZ84GNX5rnWFyVfdtBtfeeKm2D6ANtdUvfFNWQac,114,8428,2021-05-22 11:26:39.362277,94.12 %
B62qjQ3k78nzaePyXhg298UEVnwbCeqQUcNwZRSR4VK1gVJ6mer6M8V,115,8426,2021-05-22 11:26:39.362277,94.09 %
B62qqpJCDYAFpFMgm1FSCwvY1E4r4EPmoH7bBJkuGsGJ3hm3cpFLGSE,116,8415,2021-05-22 11:26:39.362277,93.97 %
B62qkG8Z6EVvYEZCPcvtNTTguKLnYk8fSduR5q4sTvasCB5k9bqpDW1,117,8402,2021-05-22 11:26:39.362277,93.82 %
B62qkKecntugWPMLfArv8cQqQsTGU9NG7gUakJzAR1cFTfG19QTfzbD,118,8384,2021-05-22 11:26:39.362277,93.62 %
B62qnTahyoiqVSW9qbqiTBczA7n1wim9d7PYwGxWZP2s6mgwMn9AoGg,119,8378,2021-05-22 11:26:39.362277,93.56 %
B62qj3fTBMfpJvoHTXPiKymxQcHH674jynkqsRjUw1bR12t2VCrW8ch,120,8373,2021-05-22 11:26:39.362277,93.50 %
B62qp4Xg1zuAkTc1cyG8N2xQrujJaZ9uesm26Jy9sr2w65XUnNaGEEQ,121,8373,2021-05-22 11:26:39.362277,93.50 %
B62qmPATxsWneeArMm7h2JU5og1vJafP9Qt5VFmMunnGZVR2DTC6ztM,122,8365,2021-05-22 11:26:39.362277,93.41 %
B62qoJuLTSJt6fqkk2N2yntcPKSEb45C8HWKr24Wi7atzCzgeXjg5oN,123,8355,2021-05-22 11:26:39.362277,93.30 %
B62qqj1YzdmiHE43B3CYXbi6vU7o4x5ZiwVWnR2WQiUxfx1CNDHnzg4,124,8346,2021-05-22 11:26:39.362277,93.20 %
B62qphjuHHaPY37THFRMYRQsVCf1JgEE6k512cV3S4RmkmdutMhzZmr,125,8299,2021-05-22 11:26:39.362277,92.67 %
B62qrE1TgV5jegA2rn32gi7FkHbFSvo2xRxKwhYykAiAsLy7ib7Uwnc,126,8282,2021-05-22 11:26:39.362277,92.48 %
B62qpYmDbDJAyADVkJzydoz7QeZy1ZTiWeH1LSuyMxXezvu5mAQi53U,127,8259,2021-05-22 11:26:39.362277,92.23 %
B62qqJXzVcb63kE6zFEXJn2GsQ4DTjygTE3ymjYSsyHRt61qVoUBZyr,128,8252,2021-05-22 11:26:39.362277,92.15 %
B62qm5ESJuFWe5JypXPQMyuw2BzkVXGHFgNBgeuvBnfiLKRaqYRW6rX,129,8246,2021-05-22 11:26:39.362277,92.08 %
B62qkEHwUWrwMiToMX7fnRVtaET75RiFHvkFhd9up9bJhneipecEBx1,130,8214,2021-05-22 11:26:39.362277,91.73 %
B62qjcPuh2BcHqKMFEsUAshFRVvDn2V9xVrrRpn9Szarx63NBmehJPP,131,8210,2021-05-22 11:26:39.362277,91.68 %
B62qoDCpSv1cmWiXgYvDud8L4dk5oTwC9JkyXyz9b13j5uFKiEFjv9D,132,8207,2021-05-22 11:26:39.362277,91.65 %
B62qmHTypp7EXGMJnZXYRpHEmRGyZCTpDgjSmkpmQa66GQqR6eaGode,133,8190,2021-05-22 11:26:39.362277,91.46 %
B62qpEMj7NwUbeWyyPrPUHtJDqJb1RkPxJtm6JxHrXUKDFMgJYp1zzT,134,8169,2021-05-22 11:26:39.362277,91.22 %
B62qoKueAUixdjxSokbUN6LeKRZoXMHEhU6nD1zpZ5EDh7zNTaDQeNK,135,8150,2021-05-22 11:26:39.362277,91.01 %
B62qmMkbajiY3bdVRjv5bx3yxjp5sBHHQuu8M11sDdjtBy5VdgWdgTr,136,8148,2021-05-22 11:26:39.362277,90.99 %
B62qqvN7pFGTSzQgmwgxVV3nCAjQSE1mTpwHfQabpM3kZvKhYbhTRbC,137,8133,2021-05-22 11:26:39.362277,90.82 %
B62qjaE41RVyhm1mcLNUwdpBJPSSYAr6MvfnWKCrmEfPz5BPRDj4GSQ,138,8107,2021-05-22 11:26:39.362277,90.53 %
B62qm6LvKxET3xCAW5JdNWAekCjyJJFxJdYYNcpGNwvhe15yyddYife,139,8098,2021-05-22 11:26:39.362277,90.43 %
B62qnGfRHkjXCF25AguH3EUJZzDNXv4xrFM9Z1Kd9a85FovbR25js1y,140,8087,2021-05-22 11:26:39.362277,90.31 %
B62qs2P91UjdhngetBJ57C56HQ8t5V7ECAYWBvpkaC45ovXNgnzqfG6,141,8068,2021-05-22 11:26:39.362277,90.09 %
B62qq3Lg31BG99W3DfpUNUr78UYhxUEEQdjSURViWhopsNHPUZy5CqA,142,8068,2021-05-22 11:26:39.362277,90.09 %
B62qkXeeeerxc4YMtV8qBki2bTQc5KBZ5CCZk85xsjTBh2iEQ2PJmce,143,7980,2021-05-22 11:26:39.362277,89.11 %
B62qmQ4pFXU4tyNwdzMY7uCdrALptYp8SnthWJMqPPA3FgmxebY3H2P,144,7971,2021-05-22 11:26:39.362277,89.01 %
B62qktmhyar5294GEBpPfgYrSEBxkAcn52273bdR4CiGELoVpLtaC6c,145,7952,2021-05-22 11:26:39.362277,88.80 %
B62qpzciXjUdvgsKcstj1jKLnyPCtWFFuvtwr54xakf7tRucz3CgHB7,146,7836,2021-05-22 11:26:39.362277,87.50 %
B62qim7EVe62u3wDsGzAZEMGMaEuwSXYWTCH1WsNvWFgfvz7ysggDxf,147,7793,2021-05-22 11:26:39.362277,87.02 %
B62qoi7wVz5NDCYa37usdATKcvMVcbtXYLjn3KiELXSEsG7XcbifC3q,148,7639,2021-05-22 11:26:39.362277,85.30 %
